Dim1,Dim2,Group,Expression
15.094418,6.699569,Real,-0.07
15.258585,7.568211,Real,-0.11
13.563844,8.088041,Real,-0.34
15.196404,6.4929247,Real,-0.16
14.697852,5.6840677,Real,-0.2
14.991689,8.16232,Real,-0.6
12.336322,7.758335,Real,-0.29
12.448505,8.227789,Real,-0.65
12.994153,7.8448524,Real,-0.87
14.990311,4.3335257,Real,0.24
15.034608,8.995838,Real,0.12
14.99549,3.461671,Real,0.02
14.496414,5.3958607,Real,0.13
15.23782,3.4786515,Real,0.12
15.76111,3.337292,Real,-0.11
14.967326,6.2739873,Real,0.13
15.352756,7.7407446,Real,0.04
14.924915,8.576333,Real,-0.61
13.813368,5.0448933,Real,-0.06
13.747413,7.4476695,Real,-0.08
12.400064,7.9013534,Real,-0.45
14.447022,5.4981017,Real,0.28
15.007088,5.993561,Real,0.22
14.267785,5.4971504,Real,0.09
15.688642,3.3373437,Real,-0.27
14.330059,5.149967,Real,-0.6
12.857663,7.2423697,Real,-0.63
15.796389,3.066905,Real,0.24
14.702597,5.895274,Real,-0.25
15.782749,3.3530948,Real,-0.42
15.118409,6.572913,Real,0.45
12.764642,8.469341,Real,0.03
12.536267,8.191294,Real,-0.14
15.865735,3.3821256,Real,0.18
15.639403,3.5125082,Real,-0.07
15.787403,3.1293283,Real,-0.6
12.723366,6.4875007,Real,0.32
14.135598,4.4965825,Real,0.08
12.517601,7.0608735,Real,-0.2
15.185622,6.381322,Real,0.44
15.339595,6.661502,Real,0.19
15.153816,7.2270637,Real,0.02
15.651561,3.1509619,Real,0.56
15.244431,8.717949,Real,-0.1
15.254078,8.139699,Real,-0.34
14.765638,7.6309695,Real,0.09
11.968573,8.350435,Real,0.06
13.053895,8.467209,Real,-0.09
15.843659,6.2224693,Real,0.15
15.309783,5.715904,Real,-0.2
11.830743,8.328747,Real,-0.51
13.204506,8.400697,Real,-0.16
10.975917,8.180023,Real,-0.97
9.939031,8.7110195,Real,-1.33
15.563044,3.4595737,Real,0.49
11.878161,8.332818,Real,-0.19
11.888167,8.321397,Real,-0.24
15.145059,2.8424537,Real,2.62
15.243429,2.8105483,Real,1.06
12.311534,8.409833,Real,-0.06
15.175298,2.9055932,Real,0.18
14.70446,3.7917774,Real,0.04
12.530959,6.8260794,Real,-0.2
14.191959,5.9617305,Real,0.31
13.570574,7.9165077,Real,-0.15
12.079911,7.5437517,Real,-0.6
15.19233,3.1041849,Real,0.56
12.087773,7.506055,Real,-0.59
12.264583,7.128685,Real,-0.9
12.1315565,8.042467,Real,-0.58
11.34853,8.188453,Real,-0.66
11.539417,7.934599,Real,-0.76
15.713097,3.0637598,Real,0.74
15.586329,5.607042,Real,0.67
12.916949,3.6037025,Real,-0.16
13.052827,7.349812,Real,-0.03
12.564613,6.493426,Real,-0.25
12.139106,7.3559985,Real,-0.45
13.925612,7.486255,Real,-0.06
10.639857,8.320955,Real,-0.67
9.666071,8.648769,Real,-1.9
12.397728,7.116975,Real,0.39
12.00736,8.409739,Real,-0.12
12.229782,8.080617,Real,-0.22
12.354842,7.483154,Real,0.04
14.688365,5.6736145,Real,-0.11
15.289561,5.8543515,Real,-0.12
15.842544,6.089685,Real,0.14
15.941719,5.610274,Real,0.01
10.992192,7.9334455,Real,-0.64
14.629847,6.2287307,Real,0.07
12.362087,8.286836,Real,-0.5
9.8231325,8.529997,Real,-0.54
11.473295,7.903085,Real,-0.61
10.138631,8.109177,Real,-1.13
9.55813,8.327561,Real,-1.32
9.34165,8.478312,Real,-1.47
9.133865,8.601379,Real,-1.7
9.1034355,8.515169,Real,-1.96
8.817354,8.7742815,Real,-1.08
8.706064,8.794241,Real,-1.32
9.466853,8.4310055,Real,-1.91
8.579615,8.921697,Real,0.24
8.595241,9.008817,Real,-1.65
8.682816,8.846448,Real,-2.06
8.689226,8.87195,Real,-1.77
8.785716,8.778101,Real,-1.79
8.800077,8.923435,Real,-2.92
8.662796,8.917874,Real,-1.77
8.742922,8.803634,Real,-1.79
8.717383,8.819536,Real,-1.85
10.264554,8.12855,Real,-0.7
12.084096,7.3616104,Real,-0.78
9.171026,8.38593,Real,-1.26
14.846076,6.4333954,Real,0.15
13.124095,8.323787,Real,-0.19
12.447133,7.116502,Real,-0.31
15.668084,3.4288616,Real,0.17
15.191531,4.500933,Real,-0.06
12.192632,8.446125,Real,-0.77
15.286185,4.031378,Real,0.84
12.566492,6.632739,Real,-0.08
15.66533,3.4517353,Real,-0.09
15.209352,3.999452,Real,0.8
15.455336,7.836261,Real,0.34
15.535756,2.9834292,Real,0.19
15.760355,3.2153163,Real,0.45
14.087438,7.4630003,Real,0.06
12.014469,7.4347634,Real,-0.79
13.344766,4.0971484,Real,0.13
14.714343,5.818941,Real,-0.05
12.17254,7.8109574,Real,-0.88
15.295063,3.7085354,Real,1.04
14.85247,6.259014,Real,0.04
12.25395,7.2413297,Real,-0.39
15.444829,2.9970114,Real,0.14
13.81813,5.442587,Real,-0.39
12.268531,7.0647607,Real,-0.64
9.599361,8.480396,Real,-1.1
9.795143,8.456985,Real,-1.25
10.056446,8.2483635,Real,-1.49
10.037479,8.047315,Real,-1.09
10.020115,8.189942,Real,-1.46
10.269963,7.9965796,Real,-1.57
12.744881,6.2609277,Real,-0.47
11.711952,7.663696,Real,-1.17
10.169105,8.188346,Real,-1.36
15.830522,5.4450526,Real,-0.39
12.565141,6.383018,Real,-0.58
12.245598,7.1281137,Real,-0.8
15.390754,2.8527136,Real,0.11
13.982346,4.9328346,Real,-0.21
14.850414,3.1706686,Real,-1.35
13.058757,4.8241887,Real,0.16
15.179524,3.3718297,Real,0.09
15.161451,3.7356477,Real,-0.04
15.496357,3.0823283,Real,0.7
15.31728,3.5363603,Real,0.33
13.816466,6.405799,Real,0.24
14.071822,4.474994,Real,0.15
12.856253,6.6259203,Real,-0.14
12.111317,7.415382,Real,-0.63
14.319506,5.7074733,Real,0.29
15.306692,3.6698399,Real,0.13
14.308836,4.751983,Real,-0.01
13.18899,5.1505585,Real,0.04
13.904532,4.95913,Real,-0.1
15.115668,3.5524592,Real,-0.83
15.092599,5.1950097,Real,0.54
15.367697,4.1478662,Real,0.1
13.546608,6.731066,Real,-0.11
14.935973,3.168208,Real,0.02
14.649142,6.401576,Real,-0.05
14.525727,6.698164,Real,-0.12
14.582472,6.3272867,Real,0.12
12.966455,7.7114167,Real,-0.23
12.512816,7.2772303,Real,-0.27
15.259136,4.9427032,Real,-0.01
14.530536,7.486416,Real,-0.02
12.290021,7.0143614,Real,-0.6
15.681179,3.7691836,Real,0.43
12.518136,8.283371,Real,0.31
16.155464,6.181894,Real,-0.1
14.997572,9.906159,Real,0.99
15.779798,3.7876441,Real,0.77
12.167992,8.632374,Real,0.01
12.830087,8.518115,Real,-0.47
10.756188,8.699445,Real,-0.62
12.328929,8.634524,Real,-0.63
15.665218,2.955049,Real,1.82
15.320996,2.7965984,Real,1.78
15.814081,3.8757484,Real,1.07
12.610233,5.26927,Real,0.24
9.669801,7.9150853,Real,-1.6
9.674153,7.970563,Real,-1.78
11.9024935,8.31071,Real,-0.39
9.6721525,8.066326,Real,-1.29
10.746929,8.25281,Real,-1.47
11.643474,8.330641,Real,-1.45
9.641266,8.165693,Real,-1.64
9.743358,7.9201684,Real,-1.72
14.902002,3.4684412,Real,1.19
12.284895,6.9683604,Real,-1.04
9.693476,8.39563,Real,-1.39
9.672935,8.11446,Real,-1.13
9.673813,8.045465,Real,-1.29
9.696595,8.0238905,Real,-1.52
9.717519,7.9161468,Real,-1.46
9.752185,8.010157,Real,-1.51
9.518626,8.26123,Real,-2.14
9.624143,8.118153,Real,-1.32
9.627747,7.9344068,Real,-1.37
9.656947,7.9715576,Real,-1.64
12.58336,7.0163217,Real,-0.25
13.279893,4.781838,Real,-0.37
11.883462,8.326805,Real,-1.26
13.828009,5.752301,Real,0.6
13.142916,8.453862,Real,0.0
15.128012,8.225942,Real,-0.13
15.048694,4.6120095,Real,1.19
14.93812,3.8083396,Real,-0.09
14.578798,8.010584,Real,-0.31
15.249717,4.6481857,Real,0.09
13.345998,6.781036,Real,0.05
13.774398,7.4050903,Real,-0.21
13.821995,3.4618785,Real,0.28
12.501752,5.8131237,Real,0.0
12.628268,7.1542134,Real,-1.44
12.705988,5.892854,Real,-0.03
9.927277,8.717215,Real,-1.5
9.747927,8.960185,Real,-1.61
15.63942,3.8871593,Real,0.1
12.968097,6.326452,Real,-0.07
12.839682,7.076735,Real,-0.65
12.0133705,8.259191,Real,-0.07
12.487383,5.8972273,Real,-0.09
12.413561,6.0266595,Real,-0.25
14.63076,3.616799,Real,0.68
14.861915,3.5704699,Real,0.63
9.645753,9.1687975,Real,-0.65
13.146977,3.3247373,Real,0.35
14.839693,5.9221754,Real,0.11
12.1937,8.25773,Real,-0.62
13.228471,3.3626628,Real,0.54
15.018191,7.0494413,Real,0.37
13.352978,3.7506294,Real,0.2
15.107513,4.819255,Real,-0.02
12.283831,8.27406,Real,-0.36
12.335108,8.295311,Real,-0.39
15.40835,5.2409754,Real,0.14
14.454531,5.089356,Real,0.11
15.989547,8.172403,Real,0.07
13.798109,7.407976,Real,0.23
15.383447,7.9214797,Real,0.23
14.780437,7.6607537,Real,0.23
15.721521,3.4548047,Real,1.06
15.146499,9.244584,Real,-0.04
15.483871,5.2909346,Real,-0.63
13.085169,4.000728,Real,-0.12
12.878143,4.7146754,Real,-1.11
12.689849,4.7594576,Real,-1.21
15.34266,2.91716,Real,0.52
14.980083,4.5926976,Real,-0.09
14.061309,4.868691,Real,-0.11
14.131809,4.8052483,Real,0.18
12.736658,3.4265563,Real,0.12
12.899202,3.6236806,Real,0.04
12.521444,4.6839547,Real,0.11
11.919368,4.6789045,Real,0.05
12.650734,3.5457952,Real,-0.18
15.327116,5.207329,Real,0.02
12.573422,6.667979,Real,-0.34
11.754302,8.430604,Real,-0.52
12.457272,6.6047945,Real,0.17
12.410626,6.828121,Real,-0.05
11.841275,5.1616936,Real,-0.08
12.634169,6.3824444,Real,0.01
13.136553,4.453011,Real,-0.08
13.60727,4.5875673,Real,-0.27
14.966643,4.1974487,Real,0.24
13.680125,4.040539,Real,0.22
12.678954,6.471158,Real,-0.21
14.135122,4.385894,Real,0.19
12.007753,3.967028,Real,-0.13
9.689748,5.8276334,Real,-0.91
15.314212,4.5999994,Real,0.23
13.237813,3.8639884,Real,-0.16
14.367382,4.1872787,Real,-0.28
15.86929,3.7681007,Real,0.34
14.270481,4.6373177,Real,0.19
15.438823,5.6078734,Real,-0.1
10.893036,5.1815176,Real,-0.3
11.296362,5.0537786,Real,-0.46
9.685674,5.8132443,Real,-0.89
9.9934435,5.4452114,Real,-0.37
9.598779,5.762044,Real,-0.57
9.986609,5.501895,Real,-0.93
10.030134,5.623884,Real,-0.69
9.938712,5.418737,Real,-0.74
9.631742,5.6973968,Real,-1.08
16.083477,8.217309,Real,-0.21
8.733509,9.4916115,Real,-0.6
9.977528,8.737021,Real,-0.79
9.830174,5.3401566,Real,-0.65
9.685895,5.3211284,Real,-0.77
9.706489,5.9464307,Real,-0.81
9.736864,5.4424205,Real,-0.55
9.959039,5.487952,Real,-0.78
9.679867,6.160322,Real,-1.29
10.130784,5.6407065,Real,-0.54
9.731608,6.138456,Real,-0.84
9.988662,5.64177,Real,-1.21
9.744764,5.7957053,Real,0.25
11.715163,4.6657934,Real,-0.25
10.1664915,5.419936,Real,-0.61
11.366642,5.1024804,Real,-0.55
10.073845,5.5522947,Real,-0.71
9.838735,5.914071,Real,-1.27
15.39622,5.209889,Real,0.02
16.032887,8.0853405,Real,-0.03
15.060625,7.1856933,Real,-0.03
15.768365,3.406858,Real,1.18
15.049688,4.7950163,Real,0.5
13.030056,4.8837314,Real,0.23
14.377224,6.018895,Real,0.09
15.458026,5.1867495,Real,-0.07
13.731234,4.2137403,Real,-0.26
16.072744,8.338881,Real,0.06
12.866409,8.550316,Real,0.06
16.068802,8.285316,Real,-0.04
12.377382,5.7590914,Real,0.06
12.105668,5.2130847,Real,-0.1
13.626129,8.088063,Real,-0.23
13.38268,7.2710056,Real,0.2
12.520882,5.906966,Real,0.09
12.569907,5.867896,Real,0.07
13.345984,6.992628,Real,0.19
12.599707,5.9003563,Real,-0.11
12.436134,5.8975806,Real,-0.16
12.512454,5.8970366,Real,0.01
12.648444,6.0157433,Real,0.0
13.244379,6.7490435,Real,-0.08
13.712298,3.612107,Real,0.06
12.537186,5.9140034,Real,-0.12
12.448136,5.669186,Real,-0.18
12.221712,4.9824214,Real,-0.01
16.115942,8.178906,Real,-0.09
16.12186,7.869914,Real,-0.38
12.284279,5.3378887,Real,0.12
12.247408,5.4440694,Real,-0.04
12.483099,5.903383,Real,-0.11
13.869891,8.791155,Real,0.05
13.110491,6.0934024,Real,-0.04
12.391941,5.04371,Real,-0.15
14.356516,10.290313,Real,-0.2
14.275996,10.3273945,Real,-0.24
12.599036,4.017288,Real,-0.52
12.093301,4.788457,Real,0.19
15.36698,2.9281743,Real,-0.28
12.123106,4.421334,Real,-0.37
12.547199,4.254331,Real,0.41
12.487582,4.448174,Real,0.12
14.221122,5.690486,Real,0.0
14.290695,10.407577,Real,-0.2
12.560046,6.3390675,Real,-0.41
12.383973,4.78814,Real,-0.94
15.797526,5.313993,Real,0.72
15.320458,5.324152,Real,0.1
12.267844,4.4820395,Real,0.04
12.034891,4.7335906,Real,0.2
12.006399,4.6422534,Real,0.14
12.134375,4.8042006,Real,-0.01
12.047934,4.6461434,Real,0.31
14.614416,3.0004952,Real,0.25
13.326942,4.0975537,Real,0.2
15.471573,7.8312335,Real,0.32
12.369346,3.955579,Real,0.29
14.572655,3.6014721,Real,0.2
12.059178,4.646521,Real,0.43
8.091644,4.764178,Real,-0.01
12.171253,5.0259185,Real,-0.15
7.9183745,4.7685113,Real,-0.09
12.3387375,4.4707966,Real,-0.26
12.593258,4.3446956,Real,-0.32
15.695407,2.9967427,Real,0.08
15.074763,3.3972337,Real,-0.09
14.244213,4.3270745,Real,-0.29
14.532297,8.806427,Real,0.06
15.426907,5.2071743,Real,0.05
15.400587,6.5051174,Real,-0.22
15.226526,6.047866,Real,0.04
12.517118,4.002209,Real,0.02
15.976325,5.825213,Real,0.0
15.295375,8.619075,Real,0.09
15.756666,3.8448298,Real,0.09
15.29043,8.514592,Real,-0.2
15.447814,5.213704,Real,0.1
12.172083,9.563228,Real,-0.1
14.589893,5.7377815,Real,-0.23
14.311813,4.0741944,Real,0.64
13.055474,4.122674,Real,0.6
13.069144,4.358456,Real,0.53
15.038079,7.0945582,Real,0.65
15.059779,3.6093726,Real,0.38
14.422462,8.914156,Real,0.14
12.735082,3.4894345,Real,0.82
15.0106,4.0524955,Real,0.78
13.612232,3.866403,Real,0.71
14.345822,8.849259,Real,0.78
14.406786,8.798442,Real,0.78
14.794906,9.005097,Real,0.73
14.764776,8.921099,Real,0.86
14.675915,8.908717,Real,0.78
14.928886,9.011151,Real,0.73
12.956597,6.3268404,Real,0.69
12.28422,5.3596087,Real,0.55
11.071278,5.144792,Real,0.42
12.332648,9.528405,Real,0.81
14.404306,4.6676354,Real,0.58
12.231652,9.593733,Real,0.56
12.218563,9.595447,Real,0.34
16.175652,5.958013,Real,0.34
15.043327,6.8668675,Real,-0.2
12.198068,9.589311,Real,-0.03
12.141716,9.571494,Real,-0.24
12.219739,9.644937,Real,-0.25
12.160516,9.551296,Real,0.47
12.136703,9.553446,Real,0.13
12.182476,9.650163,Real,0.02
12.38357,9.480608,Real,0.01
12.296632,9.636083,Real,-0.08
12.231199,9.611981,Real,0.14
12.2590065,9.590133,Real,-0.08
12.191703,9.554823,Real,-0.2
12.20497,9.547819,Real,-0.08
12.209823,9.581743,Real,-0.09
12.507616,3.7332048,Real,-0.96
14.855729,7.90041,Real,0.27
13.327759,8.853465,Real,-0.1
14.544133,2.9637926,Real,-0.42
12.487913,3.5635343,Real,0.16
14.66243,9.061099,Real,0.0
12.145497,9.504189,Real,-0.44
14.370038,5.315244,Real,0.04
14.868368,5.3518357,Real,-0.13
13.292157,4.133225,Real,-0.44
15.817596,3.981885,Real,0.34
15.760327,3.9026942,Real,0.01
14.721977,3.2676337,Real,0.0
14.534163,3.075181,Real,0.41
15.460696,3.8946483,Real,0.24
15.516688,3.8749506,Real,0.15
14.79655,3.2082596,Real,0.35
15.902574,4.054219,Real,0.07
15.898536,4.044087,Real,0.06
14.82111,3.2672317,Real,0.23
14.212642,7.537544,Real,0.17
14.079644,7.694807,Real,-0.19
14.087687,8.205385,Real,0.09
14.699171,3.0880692,Real,0.05
13.139823,5.794383,Real,0.03
14.061126,7.944786,Real,0.34
12.920127,5.4089975,Real,-0.03
14.655974,2.9256334,Real,-0.16
13.014857,5.6358156,Real,0.2
12.922051,5.468186,Real,-0.11
11.488228,4.4300256,Real,-0.11
13.550734,8.069593,Real,0.11
12.856127,5.4017973,Real,0.08
11.360752,4.3979106,Real,-0.03
13.278503,5.5113688,Real,-0.03
13.17838,5.338395,Real,-0.14
11.573919,4.50517,Real,-0.21
12.221575,9.606511,Real,0.05
13.19935,6.020362,Real,-0.07
12.863784,5.4822702,Real,-0.92
14.016328,7.9728837,Real,-0.15
15.419859,7.6633854,Real,-0.16
15.03802,3.247994,Real,-0.54
12.97585,3.516199,Real,0.36
14.046834,7.8229804,Real,0.26
14.784583,7.1356287,Real,-0.04
12.829147,3.5489771,Real,0.34
16.284264,6.376403,Real,0.0
14.228804,4.882142,Real,-0.03
13.70228,9.2845745,Real,0.33
14.241263,7.92873,Real,0.23
13.70044,9.278704,Real,0.18
15.492468,6.827417,Real,0.09
15.517675,6.883858,Real,0.08
12.968034,5.5978913,Real,-0.04
15.484902,6.16428,Real,1.45
14.957596,6.5753803,Real,0.31
13.1401,4.7744484,Real,-0.02
15.461665,7.0234466,Real,0.18
13.031847,5.2623725,Real,0.09
12.907627,5.6319976,Real,0.06
12.864197,5.5666986,Real,0.04
12.965388,5.5407486,Real,0.03
14.803528,9.059076,Real,-0.06
14.2387905,3.0840497,Real,0.16
15.136168,7.593999,Real,-0.02
14.367068,2.9648259,Real,-0.2
14.293636,2.9628758,Real,-0.1
14.309788,2.9744015,Real,-0.25
15.053077,7.7808166,Real,-0.42
11.573605,4.4734025,Real,0.05
13.580714,5.2087216,Real,-0.13
11.518247,4.453655,Real,-0.17
13.078275,5.449048,Real,0.05
11.487975,4.5050693,Real,0.02
13.550189,8.128388,Real,-0.08
11.650041,4.3870625,Real,0.21
13.1085,5.1395617,Real,0.02
13.06489,5.667475,Real,-0.02
13.74645,9.236829,Real,0.26
14.838069,6.2899356,Real,0.07
13.765935,9.215381,Real,0.01
13.867438,5.4300427,Real,0.12
14.174702,7.4001555,Real,0.11
13.140342,5.628777,Real,-0.31
13.939018,3.9746664,Real,-0.03
14.639462,2.986943,Real,-0.06
14.756847,3.4358928,Real,-0.23
15.187083,5.752911,Real,0.1
15.735428,3.881847,Real,0.08
14.530287,3.3301723,Real,-0.23
14.095306,6.8484817,Real,0.24
12.970754,3.7000558,Real,0.17
14.1927595,7.7890186,Real,0.03
13.983095,7.973678,Real,0.08
14.718554,5.771472,Real,-0.02
13.87874,8.682839,Real,-0.06
14.773124,4.9579053,Real,-0.02
14.9252405,4.6645255,Real,-0.03
16.11975,5.6350718,Real,-0.31
12.3299055,3.4229262,Real,0.12
12.27586,3.3995285,Real,0.02
13.691756,4.0059004,Real,-0.11
14.554408,6.5314865,Real,0.16
14.382497,6.7019906,Real,0.12
13.090372,4.2599044,Real,-0.16
14.172268,7.6780114,Real,0.35
13.732159,9.290994,Real,0.19
13.716436,9.149331,Real,0.07
14.66608,4.90891,Real,0.0
14.848684,6.5097146,Real,-0.1
12.646738,3.5480864,Real,-0.15
12.723632,4.0234504,Real,0.06
15.047337,8.594298,Real,-0.03
15.561151,5.9135413,Real,-0.26
14.742949,7.4426966,Real,0.1
12.797598,4.0189786,Real,-0.02
13.551149,4.31996,Real,-0.05
13.803233,9.098039,Real,0.41
14.013465,7.722449,Real,0.17
15.29616,8.502031,Real,0.05
12.736503,3.6631286,Real,0.52
13.1036005,4.816876,Real,0.19
14.991496,7.497645,Real,-0.38
15.199964,4.42781,Real,0.23
15.784521,5.7967396,Real,0.2
13.5379925,3.9064023,Real,0.01
11.663322,4.1137314,Real,0.23
14.933244,4.6732635,Real,0.19
15.751166,5.646236,Real,-0.31
12.937881,3.6712794,Real,0.61
14.763324,8.088154,Real,0.15
14.181382,8.910845,Real,0.13
16.2712,6.277874,Real,0.26
16.211765,6.285002,Real,0.19
15.081723,8.521461,Real,0.02
13.18608,3.902692,Real,0.25
14.0679455,4.408952,Real,0.22
13.863315,4.276233,Real,0.14
14.35899,7.7060394,Real,0.28
14.188908,8.365805,Real,0.04
12.634971,4.4095545,Real,-0.31
14.756055,6.254299,Real,0.0
15.0890665,7.772651,Real,-0.03
13.632435,4.7936306,Real,-0.18
14.791588,6.1230984,Real,0.3
14.319192,8.359491,Real,0.13
14.385013,8.198323,Real,-0.24
14.68276,5.4780474,Real,0.08
16.254486,6.101956,Real,0.0
15.071639,7.6985703,Real,-0.06
15.099295,8.16462,Real,0.12
15.133601,8.715143,Real,-0.03
14.346587,10.511411,Real,-0.08
13.352327,4.569455,Real,0.18
12.761464,3.7062683,Real,0.12
15.350745,6.6503515,Real,0.0
13.979375,4.5683594,Real,0.08
12.91434,4.067153,Real,0.07
12.634533,3.7922552,Real,-0.08
13.237037,3.732001,Real,-0.09
13.804777,4.118841,Real,-0.09
14.267696,9.18051,Real,-0.26
13.350862,6.629479,Real,0.03
13.7235775,6.8583894,Real,0.02
13.652278,6.966608,Real,-0.18
13.430918,6.6525364,Real,-0.04
13.490784,6.7702274,Real,-0.06
13.360604,6.685042,Real,-0.2
13.836278,7.1143236,Real,0.35
13.489677,3.8654191,Real,0.21
13.456899,3.890833,Real,0.13
13.094255,3.9600089,Real,0.36
14.116124,7.065724,Real,0.25
13.825778,7.0306044,Real,0.21
14.086497,4.221208,Real,0.16
14.211415,7.654873,Real,0.08
12.408503,3.6430461,Real,-0.32
15.528342,7.451983,Real,0.02
12.145015,3.5822332,Real,-0.09
15.621957,7.2903314,Real,-0.36
13.136564,5.2463436,Real,0.06
15.596311,6.23319,Real,0.0
12.7963915,3.5170312,Real,-0.62
13.323864,5.949988,Real,0.45
14.928483,6.971287,Real,0.3
11.950688,4.319415,Real,0.05
14.796976,9.127927,Real,0.32
14.975474,6.945029,Real,0.32
13.678793,9.089202,Real,0.31
12.471805,3.5722253,Real,0.19
13.448981,5.1825213,Real,-0.02
13.041031,3.6338692,Real,-0.06
14.976796,8.267403,Real,0.34
12.833211,5.3567824,Real,-0.11
13.075068,5.354572,Real,-0.22
15.243596,9.453424,Real,-0.09
12.9492,5.3519654,Real,-0.19
13.022365,5.420634,Real,-0.65
11.193196,5.039193,Real,0.15
13.24868,4.867863,Real,-0.05
10.843648,5.6316404,Real,-0.05
11.411937,6.1008368,Real,-0.06
10.775328,5.55562,Real,-0.19
11.034181,4.78918,Real,-0.79
11.231426,5.9992166,Real,-0.04
10.756764,5.5778475,Real,-0.08
10.741704,5.7056003,Real,-0.37
11.190839,5.93865,Real,0.31
10.784776,5.7657943,Real,-0.05
10.838765,5.754767,Real,-0.11
10.7164,5.6545763,Real,0.12
10.777583,5.701049,Real,-0.02
10.964142,5.271596,Real,-0.19
10.689689,5.5429764,Real,0.09
11.203484,5.898685,Real,0.03
10.847329,5.753524,Real,-0.15
11.280969,6.028555,Real,0.07
10.791694,5.7567196,Real,0.05
10.946043,5.838293,Real,0.03
10.873553,5.794397,Real,0.08
12.370014,8.355455,Real,0.04
10.973054,5.859296,Real,-0.07
11.044896,5.881719,Real,0.57
12.359544,8.432535,Real,0.18
15.555157,8.517017,Real,-0.09
